Dataset,No. of Nodes,No. of Edges,No. of Districts,t_1,t_2,Road Network ,Instance,Time w Cuts,Objective w Cuts
60,122,182,10,0.3,0.5,4,RN_4_10_0.3_0.5,93.1,17304.29
61,130,145,2,0.1,0.1,5,RN_5_2_0.1_0.1,64.04,61418.84
62,130,145,2,0.1,0.2,5,RN_5_2_0.1_0.2,59.26,61418.84
63,130,145,2,0.1,0.3,5,RN_5_2_0.1_0.3,60.09,61418.84
64,130,145,2,0.1,0.5,5,RN_5_2_0.1_0.5,61.08,61418.84
65,130,145,2,0.2,0.1,5,RN_5_2_0.2_0.1,68.57,61140.62
66,130,145,2,0.2,0.2,5,RN_5_2_0.2_0.2,55.86,61140.62
67,130,145,2,0.2,0.3,5,RN_5_2_0.2_0.3,55.5,61140.62
68,130,145,2,0.2,0.5,5,RN_5_2_0.2_0.5,56.07,61140.62
69,130,145,2,0.3,0.1,5,RN_5_2_0.3_0.1,62.8,61087.24
70,130,145,2,0.3,0.2,5,RN_5_2_0.3_0.2,63.09,61087.24
71,130,145,2,0.3,0.3,5,RN_5_2_0.3_0.3,63.93,61087.24
72,130,145,2,0.3,0.5,5,RN_5_2_0.3_0.5,56.52,61087.24
73,130,145,4,0.1,0.1,5,RN_5_4_0.1_0.1,136.16,43065
74,130,145,4,0.1,0.2,5,RN_5_4_0.1_0.2,72.89,43065
75,130,145,4,0.1,0.3,5,RN_5_4_0.1_0.3,139.47,43065
76,130,145,4,0.1,0.5,5,RN_5_4_0.1_0.5,147.76,43065
77,130,145,4,0.2,0.1,5,RN_5_4_0.2_0.1,78.03,42083.42
78,130,145,4,0.2,0.2,5,RN_5_4_0.2_0.2,99.08,42083.42
79,130,145,4,0.2,0.3,5,RN_5_4_0.2_0.3,82.66,42083.42
80,130,145,4,0.2,0.5,5,RN_5_4_0.2_0.5,77.43,42083.42
81,130,145,4,0.3,0.1,5,RN_5_4_0.3_0.1,104.07,41561.34
82,130,145,4,0.3,0.2,5,RN_5_4_0.3_0.2,92.52,41561.34
83,130,145,4,0.3,0.3,5,RN_5_4_0.3_0.3,64.06,41561.34
84,130,145,4,0.3,0.5,5,RN_5_4_0.3_0.5,74.1,41561.34
85,130,145,6,0.1,0.1,5,RN_5_6_0.1_0.1,173.24,28935.85
86,130,145,6,0.1,0.2,5,RN_5_6_0.1_0.2,184.98,28935.85
87,130,145,6,0.1,0.3,5,RN_5_6_0.1_0.3,173.64,28935.85
88,130,145,6,0.1,0.5,5,RN_5_6_0.1_0.5,169.44,28935.85
89,130,145,6,0.2,0.1,5,RN_5_6_0.2_0.1,21.29,28108.99
90,130,145,6,0.2,0.2,5,RN_5_6_0.2_0.2,27.1,28108.99
91,130,145,6,0.2,0.3,5,RN_5_6_0.2_0.3,33.31,28108.99
92,130,145,6,0.2,0.5,5,RN_5_6_0.2_0.5,30.96,28108.99
93,130,145,6,0.3,0.1,5,RN_5_6_0.3_0.1,28.19,27710.32
94,130,145,6,0.3,0.2,5,RN_5_6_0.3_0.2,19.88,27710.32
95,130,145,6,0.3,0.3,5,RN_5_6_0.3_0.3,17.43,27710.32
96,130,145,6,0.3,0.5,5,RN_5_6_0.3_0.5,19.62,27710.32
97,130,145,8,0.1,0.1,5,RN_5_8_0.1_0.1,80.71,25468.58
98,130,145,8,0.1,0.2,5,RN_5_8_0.1_0.2,63.07,25468.58
99,130,145,8,0.1,0.3,5,RN_5_8_0.1_0.3,70.62,25468.58
100,130,145,8,0.1,0.5,5,RN_5_8_0.1_0.5,74.01,25468.58
101,130,145,8,0.2,0.1,5,RN_5_8_0.2_0.1,1205.88,24091.98
102,130,145,8,0.2,0.2,5,RN_5_8_0.2_0.2,1213.13,24091.98
103,130,145,8,0.2,0.3,5,RN_5_8_0.2_0.3,1172.99,24091.98
104,130,145,8,0.2,0.5,5,RN_5_8_0.2_0.5,1156.03,24091.98
105,130,145,8,0.3,0.1,5,RN_5_8_0.3_0.1,32.34,23104.31
106,130,145,8,0.3,0.2,5,RN_5_8_0.3_0.2,44.46,23104.31
107,130,145,8,0.3,0.3,5,RN_5_8_0.3_0.3,34.55,23104.31
108,130,145,8,0.3,0.5,5,RN_5_8_0.3_0.5,27.78,23106.07
109,130,145,10,0.1,0.1,5,RN_5_10_0.1_0.1,48.21,21038.91
110,130,145,10,0.1,0.2,5,RN_5_10_0.1_0.2,91.03,21038.91
111,130,145,10,0.1,0.3,5,RN_5_10_0.1_0.3,56.53,21038.91
112,130,145,10,0.1,0.5,5,RN_5_10_0.1_0.5,82.21,21038.91
113,130,145,10,0.2,0.1,5,RN_5_10_0.2_0.1,630.1,19609.47
114,130,145,10,0.2,0.2,5,RN_5_10_0.2_0.2,703.2,19609.47
115,130,145,10,0.2,0.3,5,RN_5_10_0.2_0.3,653.06,19609.47
116,130,145,10,0.2,0.5,5,RN_5_10_0.2_0.5,595.4,19591.01
117,130,145,10,0.3,0.1,5,RN_5_10_0.3_0.1,44.11,19054.24
118,130,145,10,0.3,0.2,5,RN_5_10_0.3_0.2,31.92,19054.24
119,130,145,10,0.3,0.3,5,RN_5_10_0.3_0.3,28.71,19054.24
120,130,145,10,0.3,0.5,5,RN_5_10_0.3_0.5,42.63,19054.24
