Time (empty),Time 1,"Time 1,2a","Time 1,2b"
467.64,282.55,293.78,273.75
200.79,75.82,161.49,109.65
109.36,26.29,29.49,36.52
113.9,30,50.49,36.59
133.55,108.95,118.1,92.84
121.74,37.95,76.26,42.55
86.05,37.52,56.64,33.47
77.84,44.06,23.77,19.53
76.74,32.35,27.27,20.27
220.16,127.34,118.31,137.59
181.15,96.3,116.64,116.87
216.1,126.39,158.17,127.58
227.87,100.39,120.98,114.73
155.51,109.28,132.34,125.78
123.32,51,48.5,125.34
116.18,45.88,94.81,90.81
158.98,54.91,64.55,62.41
173.98,57.46,74.68,79.52
275.77,71.14,94.1,78.09
122.11,34.07,42.73,44.47
119.8,140.91,177.33,226.89
125.19,56.28,45.59,77.62
111.62,28.17,29.87,41.62
139.67,37.31,44.59,48.51
190.68,52.66,57.03,88.95
151.89,41.86,47.48,77.82
137.33,37.17,76.81,94.96
205.45,36.82,68.38,47.19
124.77,37.95,37.18,33.95
127.1,69.61,60.79,108.88
121.52,47.67,59.43,124.46
103.72,77.13,52.05,69.29
111.94,38.99,51.35,38.04
111.11,49.57,60.74,37.74
488.32,354.3,591.35,561.97
478.56,291.62,448.83,447.08
536.66,343.31,388.68,520.55
595.54,331.96,508.35,413.67
933.97,239.16,377.04,280.88
481.91,237.41,265.79,233.78
379.44,199.5,241.86,194.96
517.17,236.31,241.5,240.3
554.75,221.23,244.63,242.61
777.91,274.21,222.5,228.33
967.2,240.64,593.74,575.32
514.63,504.11,834.7,832.01
536.28,200.53,220.24,207.28
441,204.11,192.43,196.54
434.94,135.81,106.85,132.63
423.1,161.24,185.85,209.49
306.11,154.24,178.95,133.83
262.71,85.37,88.89,123.22
261.21,104.64,84.02,71.24
385.59,109.88,120.33,116.6
17853.3,1972.13,1462.14,662.43
2851.82,1037.83,579.81,503.43
1342.53,427.35,494.22,356.56
285.12,108.76,109.98,155.85
285.15,70.27,71.43,86.75
4377.5,1812.95,1763.06,2702.33
4522.55,1882.35,1783.45,2116.97
6492.11,1953.69,1963.77,1948.03
8131.02,2130.15,1845.19,1819.29
18406.81,4178.33,2280.29,4189.87
1385.85,542.16,678.33,558.27
1285.02,504.93,650.02,607.08
1876.9,609.79,696.46,553.04
2408.73,687.71,642.74,665.22
3492.99,701.39,659.46,757.35
1701.11,696.96,644.33,866.79
1564.97,614.42,831.65,1017.42
4243.9,2910.63,2342.31,4505.34
1810.37,531.53,575.29,511.74
3503.29,701.48,624.36,745.93
842.05,294.7,363.61,331.54
734.61,326.82,247.68,328.29
844.11,329.81,344.77,328.4
763.18,242.52,288.28,261.71
1784.41,236.13,311.8,312.71
3429.16,1251.55,1536.93,1143.4
580.48,230.24,221.73,161.86
650.41,220.93,190.29,225.94
645.71,226.85,246.45,220.9
1126.37,227.61,241.03,209.38
21768.81,7125.46,6920.84,7814.54
17499.02,6628.06,6542.27,7561.76
11209.48,4105.41,3523.34,5901.69
7234.34,4100.02,4213.17,4655.66
44897.29,4856,5001.76,6137.34
17037.42,5541.36,4895.58,5215.02
6111.6,2051.56,2298.01,2903.28
5386.54,2513.98,2244.82,2550.23
